,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,main_category,subcategory,title,price,rating,reviews,url,main_category_clean,subcategory_clean,price_clean,rating_clean,reviews_clean,price_per_review,value_score,is_popular,is_expensive
0,0,0,0,https://www.banggood.com/Wholesale-Lights-and-Lighting-ca-14001.html?bid=210710&from=nav,https://www.banggood.com/Wholesale-Smart-Ceiling-Lights-ca-14121.html?bid=81118&from=nav,"30W Smart LED Ceiling Light Dimmable Ceiling Light Fixture 2700K~6500K, RGB Ambient Light Work with Alexa Google Home for Bedroom Living Room",£21.67,5.0,3 reviews,"https://www.banggood.com/30W-Smart-LED-Ceiling-Light-Dimmable-Ceiling-Light-Fixture-2700K~6500K,RGB-Ambient-Light-Work-with-Alexa-Google-Home-for-Bedroom-Living-Room-p-2016798.html?cur_warehouse=CN&rmmds=CategoryLightsPop&trace_id=70db1763848218622",Lights And Lighting,Smart Ceiling Lights,21.67,5.0,3.0,5.4175,0.23073373327180433,True,True
1,1,1,1,https://www.banggood.com/Wholesale-Lights-and-Lighting-ca-14001.html?bid=210710&from=nav,https://www.banggood.com/Wholesale-Smart-Ceiling-Lights-ca-14121.html?bid=81118&from=nav,Gosund LB12 24W LED Smart Ceiling Light 30cm Wifi Smart Celling Lamp RGB+CW  1920LM Remote Control Voice Control With Alexa & Google Home,£21.67,5.0,1 review,https://www.banggood.com/Gosund-LB12-24W-LED-Smart-Ceiling-Light-30cm-Wifi-Smart-Celling-Lamp-RGB+CW-1920LM-Remote-Control-Voice-Control-With-Alexa-and-Google-Home-p-2024508.html?cur_warehouse=CN&ID=6137029&rmmds=CategoryLightsPop&trace_id=70db1763848218622,Lights And Lighting,Smart Ceiling Lights,21.67,5.0,1.0,10.835,0.23073373327180433,True,True
2,2,2,2,https://www.banggood.com/Wholesale-Lights-and-Lighting-ca-14001.html?bid=210710&from=nav,https://www.banggood.com/Wholesale-Smart-Ceiling-Lights-ca-14121.html?bid=81118&from=nav,LIXINCORDA 24W 30cm Smart RGBCW LED Ceiling Light Works with Tuya WiFi APP Voice Control LED Ceiling Light Dimmable Music Sync Round Ceiling Light Ambient Light for Living Room Bedroom,£25.54,4.6,5 reviews,https://www.banggood.com/LIXINCORDA-24W-30cm-Smart-RGBCW-LED-Ceiling-Light-Works-with-Tuya-WiFi-APP-Voice-Control-LED-Ceiling-Light-Dimmable-Music-Sync-Round-Ceiling-Light-Ambient-Light-for-Living-Room-Bedroom-p-2022766.html?cur_warehouse=CN&ID=6146829&rmmds=CategoryLightsPop&trace_id=70db1763848218622,Lights And Lighting,Smart Ceiling Lights,25.54,4.6,5.0,4.256666666666667,0.18010963194988253,True,True
3,3,3,3,https://www.banggood.com/Wholesale-Lights-and-Lighting-ca-14001.html?bid=210710&from=nav,https://www.banggood.com/Wholesale-Smart-Ceiling-Lights-ca-14121.html?bid=81118&from=nav,Elfeland 24W 30cm Smart LED Ceiling Light RGB+White Light WiFi APP & Voice Control 3000K~6500K Dimmable Works with Alexa & Google,£25.54,,0 review,https://www.banggood.com/Elfeland-24W-30cm-Smart-LED-Ceiling-Light-RGB+White-Light-WiFi-APP-and-Voice-Control-3000K~6500K-Dimmable-Works-with-Alexa-and-Google-p-2038279.html?cur_warehouse=CN&ID=6287845&rmmds=CategoryLightsPop&trace_id=70db1763848218622,Lights And Lighting,Smart Ceiling Lights,25.54,5.0,0.0,25.54,0.19577133907595928,False,True
4,4,4,4,https://www.banggood.com/Wholesale-Lights-and-Lighting-ca-14001.html?bid=210710&from=nav,https://www.banggood.com/Wholesale-Smart-Ceiling-Lights-ca-14121.html?bid=81118&from=nav,Elfeland 30W Smart RGB Ceiling Light with WiFi Bluetooth Remote Control Dimmable APP & Voice Control Compatible With Alexa Google Assistant,£30.96,5.0,2 reviews,https://www.banggood.com/Elfeland-30W-Smart-RGB-Ceiling-Light-with-WiFi-Bluetooth-Remote-Control-Dimmable-APP-and-Voice-Control-Compatible-With-Alexa-Google-Assistant-p-2035576.html?cur_warehouse=CN&ID=6287845&rmmds=CategoryLightsPop&trace_id=70db1763848218622,Lights And Lighting,Smart Ceiling Lights,30.96,5.0,2.0,10.32,0.16149870801033592,True,True
5,5,5,5,https://www.banggood.com/Wholesale-Lights-and-Lighting-ca-14001.html?bid=210710&from=nav,https://www.banggood.com/Wholesale-Smart-Ceiling-Lights-ca-14121.html?bid=81118&from=nav,33CM 100W bluetooth WIFI LED Ceiling Light RGB Music Speaker Dimmable Lamp APP Remote Control 110-245V,£47.22,4.66,53 reviews,https://www.banggood.com/33CM-100W-bluetooth-WIFI-LED-Ceiling-Light-RGB-Music-Speaker-Dimmable-Lamp-APP-Remote-Control-110-245V-p-1762845.html?cur_warehouse=CN&rmmds=CategoryLightsPop&trace_id=70db1763848218622,Lights And Lighting,Smart Ceiling Lights,47.22,4.66,53.0,0.8744444444444445,0.0986869970351546,True,True
6,6,6,6,https://www.banggood.com/Wholesale-Lights-and-Lighting-ca-14001.html?bid=210710&from=nav,https://www.banggood.com/Wholesale-Smart-Ceiling-Lights-ca-14121.html?bid=81118&from=nav,Gosund LB13 20W Smart Ceiling Light 1600LM RGB+CW LED Ceiling Lamp 30cm Voice Control With Alexa & Google Home,£25.54,,0 review,https://www.banggood.com/Gosund-LB13-20W-Smart-Ceiling-Light-1600LM-RGB+CW-LED-Ceiling-Lamp-30cm-Voice-Control-With-Alexa-and-Google-Home-p-2024510.html?cur_warehouse=CN&ID=6287845&rmmds=CategoryLightsPop&trace_id=70db1763848218622,Lights And Lighting,Smart Ceiling Lights,25.54,5.0,0.0,25.54,0.19577133907595928,False,True
7,7,7,7,https://www.banggood.com/Wholesale-Lights-and-Lighting-ca-14001.html?bid=210710&from=nav,https://www.banggood.com/Wholesale-Smart-Ceiling-Lights-ca-14121.html?bid=81118&from=nav,RGBW LED Ceiling Light Music Speaker Lamp Bluetooth APP + Remote Control Bedroom Smart Ceiling Lamp,£30.96,4.89,132 reviews,https://www.banggood.com/RGBW-LED-Ceiling-Light-Music-Speaker-Lamp-Bluetooth-APP-+-Remote-Control-Bedroom-Smart-Ceiling-Lamp-p-1703965.html?cur_warehouse=CN&rmmds=CategoryLightsPop&trace_id=70db1763848218622,Lights And Lighting,Smart Ceiling Lights,30.96,4.89,132.0,0.23278195488721806,0.1579457364341085,True,True
8,8,8,8,https://www.banggood.com/Wholesale-Lights-and-Lighting-ca-14001.html?bid=210710&from=nav,https://www.banggood.com/Wholesale-Smart-Ceiling-Lights-ca-14121.html?bid=81118&from=nav,LIXINCORDA 24W WIFI Smart Ceiling Lamp Bluetooth RGBCW Colorful 1920lm Bedroom Lamp Works With Tuya Alexa Google,£21.67,5.0,3 reviews,https://www.banggood.com/LIXINCORDA-24W-WIFI-Smart-Ceiling-Lamp-Bluetooth-RGBCW-Colorful-1920lm-Bedroom-Lamp-Works-With-Tuya-Alexa-Google-p-2023369.html?cur_warehouse=CN&ID=6287845&rmmds=CategoryLightsPop&trace_id=70db1763848218622,Lights And Lighting,Smart Ceiling Lights,21.67,5.0,3.0,5.4175,0.23073373327180433,True,True
9,9,9,9,https://www.banggood.com/Wholesale-Lights-and-Lighting-ca-14001.html?bid=210710&from=nav,https://www.banggood.com/Wholesale-Smart-Indoor-Lights-ca-14122.html?bid=81118&from=nav,BlitzWill® BW-PLT2 Smart Star Projector with Star & Colorful LED Nebula 6 Theme Film Slides bluetooth Speaker White Noise Alarm APP& Voice Control,£29.02,5.0,8 reviews,https://www.banggood.com/BlitzWill-BW-PLT2-Smart-Star-Projector-with-Star-and-Colorful-LED-Nebula-6-Theme-Film-Slides-bluetooth-Speaker-White-Noise-Alarm-APPand-Voice-Control-p-2040339.html?cur_warehouse=CN&ID=6287845&rmmds=CategoryLightsPop&trace_id=ddb41763847420494,Lights And Lighting,Smart Indoor Lights,29.02,5.0,8.0,3.2244444444444444,0.17229496898690558,True,True
